Year,Month,Day,Volcano Name,ID,Type,VEI,Latitude,Longitude
1971,5,11,Lokon-Empung,16453,Eruptions,2.0,1.358,124.792
1971,5,12,Gaua,15224,Eruptions,2.0,-14.27,167.5
1971,5,19,Soputan,16426,Eruptions,1.0,1.112,124.73700000000001
1971,4,5,Izu-Oshima,18240,Eruptions,1.0,34.724000000000004,139.394
1972,7,16,Reventador,11443,Eruptions,2.0,-0.077,-77.656
1972,8,26,Calbuco,12263,Eruptions,2.0,-41.33,-72.618
1972,9,2,Kuchinoerabujima,16975,Eruptions,2.0,30.443,130.217
1972,9,8,Karthala,14202,Eruptions,1.0,-11.75,43.38
1972,10,6,Merapi,15916,Eruptions,2.0,-7.54,110.446
1972,10,9,Ritter Island,14973,Eruptions,1.0,-5.519,148.115
1972,11,12,Acatenango,10655,Eruptions,1.0,14.501,-90.876
1972,10,22,Ruapehu,14639,Eruptions,1.0,-39.28,175.57
1972,10,24,Kavachi,15161,Eruptions,0.0,-8.991,157.97899999999998
1972,11,22,Tongariro,14602,Eruptions,3.0,-39.157,175.632
1972,12,16,Erebus,13162,Eruptions,2.0,-77.53,167.17
1972,7,4,Rocard,10304,Eruptions,0.0,-17.662,-148.586
1972,10,22,Paluweh,16268,Eruptions,3.0,-8.32,121.708
1972,7,2,Bagana,15138,Eruptions,2.0,-6.1370000000000005,155.196
1972,7,5,Kick 'em Jenny,12462,Eruptions,0.0,12.3,-61.64
1972,6,29,Galapagos Rift,10347,Eruptions,0.0,0.792,-86.15
1972,7,2,Lautaro,12320,Eruptions,1.0,-49.019,-73.50399999999999
1972,1,3,Erebus,13161,Eruptions,1.0,-77.53,167.17
1972,1,8,Central Bismarck Sea,14860,Eruptions,0.0,-3.03,147.78
1972,1,16,Karangetang,16527,Eruptions,3.0,2.781,125.40700000000001
1972,1,26,Tengger Caldera,16055,Eruptions,2.0,-7.942,112.95
1972,2,9,Poas,11173,Eruptions,2.0,10.2,-84.23299999999999
1972,3,19,Tongariro,14601,Eruptions,2.0,-39.157,175.632
1972,1,19,Batur,16200,Eruptions,2.0,-8.242,115.375
1972,4,29,Unnamed,18786,Eruptions,0.0,46.47,151.28
1972,6,4,Fernandina,11667,Eruptions,0.0,-0.37,-91.55
1972,6,9,"Fournaise, Piton de la",14363,Eruptions,2.0,-21.244,55.708
1972,6,10,Krakatau,15610,Eruptions,2.0,-6.102,105.42299999999999
1972,6,18,Alaid,18885,Eruptions,3.0,50.861000000000004,155.565
1972,4,15,Ambrym,15276,Eruptions,3.0,-16.25,168.12
1973,10,9,Gaua,15225,Eruptions,2.0,-14.27,167.5
1973,8,10,Chikurachki,18853,Eruptions,2.0,50.324,155.461
1973,8,16,Slamet,13404,Eruptions,1.0,-7.242000000000001,109.208
1973,7,25,Kolokol Group,18774,Eruptions,1.0,46.042,150.083
1973,8,25,Korovin,19757,Eruptions,0.0,52.381,-174.166
1973,9,15,Lokon-Empung,16454,Eruptions,1.0,1.358,124.792
1973,9,27,Fukujin,18434,Eruptions,1.0,21.93,143.47
1973,10,4,Ulawun,15052,Eruptions,2.0,-5.05,151.33
1973,10,15,Rumble III,14674,Eruptions,0.0,-35.745,178.47799999999998
1973,12,9,Fernandina,11668,Eruptions,2.0,-0.37,-91.55
1973,10,31,Ruapehu,14640,Eruptions,1.0,-39.28,175.57
1973,11,5,Kuchinoerabujima,16976,Eruptions,2.0,30.443,130.217
1973,11,10,Kilauea,10109,Eruptions,0.0,19.421,-155.287
1973,11,12,Pavlof,20138,Eruptions,2.0,55.417,-161.894
1973,11,16,Reventador,11444,Eruptions,3.0,-0.077,-77.656
1973,12,5,Iliwerung,16346,Eruptions,2.0,-8.53,123.57
1973,12,18,Fukutoku-Oka-no-Ba,17597,Eruptions,2.0,24.285,141.481
1973,12,24,Concepcion,11064,Eruptions,2.0,11.538,-85.62200000000001
1973,7,24,Marapi,15467,Eruptions,2.0,-0.38,100.47399999999999
1973,10,27,Paluweh,16269,Eruptions,2.0,-8.32,121.708
1973,7,16,"Chillan, Nevados de",11991,Eruptions,2.0,-36.868,-71.378
1973,1,24,Dempo,15571,Eruptions,2.0,-4.016,103.12100000000001
1973,7,11,Curacoa,14775,Eruptions,3.0,-15.62,-173.67
1973,1,6,Soputan,16427,Eruptions,2.0,1.112,124.73700000000001
1973,1,15,Jan Mayen,12971,Eruptions,1.0,71.082,-8.155
1973,1,16,Etorofu-Yakeyama [Grozny Group],18752,Eruptions,1.0,45.012,147.871
1973,7,14,Chachadake [Tiatia],18740,Eruptions,4.0,44.353,146.252
1973,1,23,Vestmannaeyjar,12558,Eruptions,3.0,63.416000000000004,-20.266
1973,2,1,Asamayama,17804,Eruptions,2.0,36.406,138.523
1973,2,22,Okataina,14524,Eruptions,1.0,-38.12,176.5
1973,2,23,Fuego,10726,Eruptions,2.0,14.472999999999999,-90.88
1973,2,24,Langila,14997,Eruptions,3.0,-5.525,148.42
1973,1,16,Asosan,17336,Eruptions,2.0,32.884,131.10399999999998
1973,4,12,Nishinoshima,18358,Eruptions,2.0,27.247,140.874
1973,4,15,Ambrym,15277,Eruptions,3.0,-16.25,168.12
1973,4,16,Iliboleng,16321,Eruptions,2.0,-8.342,123.258
1973,4,16,Long Island,14963,Eruptions,2.0,-5.358,147.12
1973,5,5,Kilauea,10108,Eruptions,0.0,19.421,-155.287
1973,5,10,"Fournaise, Piton de la",14364,Eruptions,2.0,-21.244,55.708
1973,5,16,Raung,16140,Eruptions,1.0,-8.119,114.056
1973,5,16,Etorofu-Yakeyama [Grozny Group],18753,Eruptions,2.0,45.012,147.871
1973,3,16,Akutan,20023,Eruptions,2.0,54.13399999999999,-165.986
1973,7,10,Vailulu'u,14801,Eruptions,0.0,-14.215,-169.058
1974,7,28,Niigata-Yakeyama,17546,Eruptions,2.0,36.921,138.036
1974,9,1,Pavlof,20140,Eruptions,3.0,55.417,-161.894
1974,9,5,Kick 'em Jenny,12463,Eruptions,0.0,12.3,-61.64
1974,9,8,White Island,14486,Eruptions,2.0,-37.52,177.18
1974,9,19,Kilauea,10111,Eruptions,0.0,19.421,-155.287
1974,12,24,Fukutoku-Oka-no-Ba,17598,Eruptions,2.0,24.285,141.481
1974,10,10,Fuego,10727,Eruptions,4.0,14.472999999999999,-90.88
1974,10,17,Ritter Island,14974,Eruptions,1.0,-5.519,148.115
1974,11,12,Kavachi,15162,Eruptions,1.0,-8.991,157.97899999999998
1974,12,30,Karkar,14947,Eruptions,2.0,-4.649,145.964
1974,12,31,Kilauea,10112,Eruptions,0.0,19.421,-155.287
1974,7,19,Kilauea,10110,Eruptions,0.0,19.421,-155.287
1974,9,29,Etna,13801,Eruptions,2.0,37.748000000000005,14.999
1974,7,15,Trident,20236,Eruptions,3.0,58.236000000000004,-155.1
1974,9,11,Poas,11174,Eruptions,2.0,10.2,-84.23299999999999
1974,6,15,Raung,16141,Eruptions,2.0,-8.119,114.056
1974,7,2,Galeras,11371,Eruptions,1.0,1.22,-77.37
1974,1,16,Lopevi,15309,Eruptions,2.0,-16.507,168.34599999999998
1974,2,4,Kuwae,15347,Eruptions,0.0,-16.829,168.53599999999997
1974,2,11,Akutan,20024,Eruptions,2.0,54.13399999999999,-165.986
1974,2,14,Karkar,14946,Eruptions,2.0,-4.649,145.964
1974,2,19,Great Sitkin,19739,Eruptions,2.0,52.076,-176.13
1974,2,26,Dempo,15572,Eruptions,2.0,-4.016,103.12100000000001
1974,1,30,Etna,13800,Eruptions,2.0,37.748000000000005,14.999
1974,3,1,Chokaisan,18034,Eruptions,1.0,39.099000000000004,140.049
1974,3,4,Manam,14927,Eruptions,3.0,-4.08,145.037
1974,3,12,Batur,16202,Eruptions,2.0,-8.242,115.375
1974,3,12,Pavlof,20139,Eruptions,1.0,55.417,-161.894
1974,4,8,Klyuchevskoy,19459,Eruptions,3.0,56.056000000000004,160.642
1974,6,3,Kuchinoerabujima,16977,Eruptions,1.0,30.443,130.217
1974,2,28,Izu-Oshima,18241,Eruptions,1.0,34.724000000000004,139.394
1975,9,13,Shishaldin,20085,Eruptions,2.0,54.756,-163.97
1975,10,2,Izu-Torishima,18371,Eruptions,2.0,30.484,140.303
1975,10,16,Asosan,17337,Eruptions,1.0,32.884,131.10399999999998
1975,10,17,Ruapehu,14642,Eruptions,1.0,-39.28,175.57
1975,12,11,Colima,10469,Eruptions,2.0,19.514,-103.62
1975,11,16,Lokon-Empung,16455,Eruptions,2.0,1.358,124.792
1975,11,29,Kilauea,10113,Eruptions,0.0,19.421,-155.287
1975,12,20,Krafla,12948,Eruptions,0.0,65.715,-16.727999999999998
1975,9,13,Pavlof,20141,Eruptions,2.0,55.417,-161.894
1975,11,4,"Fournaise, Piton de la",14365,Eruptions,1.0,-21.244,55.708
1975,8,25,Minami-Hiyoshi,18424,Eruptions,0.0,23.5,141.935
1975,7,5,Mauna Loa,10225,Eruptions,0.0,19.475,-155.608
1975,3,6,Lopevi,15310,Eruptions,2.0,-16.507,168.34599999999998
1975,7,2,Southern Thule,13201,Eruptions,1.0,-59.442,-27.225
1975,6,28,Tolbachik,19323,Eruptions,4.0,55.832,160.326
1975,5,28,Fuego,10728,Eruptions,1.0,14.472999999999999,-90.88
1975,5,16,Telica,10928,Eruptions,0.0,12.606,-86.84
1975,4,24,Ruapehu,14641,Eruptions,2.0,-39.28,175.57
